Quum dēscendistī ad mortem, Vīta Immortālis, ^ When you descended unto death, O Life Immortal,
fulgre dīvinitātis tuae infernum occīdistī. ^ with the lightning of thy divinity thou slayed death.
Quum etiam dē prōfundīs mortēs suscitāvistī, ^ And when out from the depths thou dids't raise the dead,
omnēs virtutēs caelōrum clāmāvērunt: ^ all the powers of heaven cried out:
Ō Dator Vītae, Chrīste Deus noster, gloriā tibi! ^ O Giver of Life, Christ our God, glory to thee!
