Venīte, adōrēmus Rēgem nostrum Deum. ^ Come, let us worship God our King.
Venīte, adōrēmus et prōcidāmus ante Crīstum, Rēgem et Deum nostrum. ^ Come, let us worship and bow down before Christ, our King and God.
Venīte, adōrēmus et prōcidāmus ante Crīstum ipsum, Rēgem et Deum nostrum. ^ Come, let us worship and bow down before Christ himself, our King and God.
