Pater noster, quī es in caelīs, sanctificētur nōmen tuum. ^ Our Father, who art in heaven, hallowed be thy name.
Adveniat regnum tuum; fīat voluntās tua, sīcut in caelō et in terrā. ^ Thy kingdom come; thy will be done on earth as it is in heaven.
Pānem nostrum supersubstantiālem dā nōbīs hodiē, ^ Give us this day our supersubstantial bread,
et dīmitte nōbīs dēbita nostra, sīcut et nos dīmittimus dēbitōribus nostrīs, ^ and forgive us our debts, as we also forgive our debtors,
et nē nōs indūcās in tentātiōnem, sed līberā nōs ā Malō. Āmen. ^ and lead us not into temptation, but deliver us from the Evil One. Amen.
