Ave María, grátia plena, Dóminus tecum; ^ Hail Mary, full of grace, the Lord is with thee;
benedícta tu in muliéribus, et benedíctus fructus ventris tui, Jesus. ^ blessed art thou amongst women, and blessed is the fruit of thy womb, Jesus.
Sancta María, Mater Dei, ora pro nobis peccatóribus nunc, et in hora mortis nostrae. Amen. ^ Holy Mary, Mother of God, pray for us sinners now and at the hour of our death. Amen.
